community,lat,lon,count
0,27.7278,85.3082,7939
0,27.6939,84.65937,2366
0,27.7265,84.489,2058
0,27.55014,85.31404,7670
0,27.77155,85.34516,6157
0,27.7175,85.27802,2777
0,27.7383,85.17483,3802
0,27.53283,85.30473,6774
0,27.7474,85.28453,7486
0,27.6828,85.3471,2657
0,27.6837,85.3367,1342
0,27.72041,84.41643,4945
0,27.639,85.3133,2552
0,27.70242,85.36805,6355
0,27.6114,85.26968,6083
0,27.40774,85.32368,7752
0,27.7031,85.33277,5444
0,27.94593,85.28395,1608
0,27.83396,84.9312,2313
0,27.68079,85.3082,3662
0,27.896,85.21294,5125
0,27.6983,85.35844,2093
0,27.6661,85.34516,4715
0,27.75,85.3556,6576
0,27.6637,85.3545,5250
0,27.7469,85.3163,6387
0,27.61239,85.2426,7349
0,27.57744,85.30503,3635
0,27.71849,85.3128,6307
0,27.6872,85.29264,5044
0,27.73025,85.34424,3718
0,27.63358,84.75806,1418
0,27.44992,85.5283,4746
0,27.69585,84.54717,3666
0,27.6166,84.34537,1434
0,27.97989,84.65937,517
0,27.64488,85.34764,2129
0,27.68079,85.2792,5359
0,27.69561,85.43306,1766
0,27.6594,85.2426,6294
0,27.8459,85.37179,3366
0,27.64412,85.14806,3439
0,27.70596,85.02843,7031
0,27.7105,85.36286,2590
0,27.8123,85.56876,5919
0,27.67069,85.30204,1661
0,27.7307,85.3279,2771
0,27.7128,85.3444,2828
0,27.6643,84.43451,1383
0,27.8043,84.66851,91
0,27.72141,84.60692,3231
0,27.7024,85.3058,2860
0,27.62991,85.3711,267
0,27.72616,85.67547,7995
0,27.6758,84.65389,2434
0,27.65357,85.3133,4268
0,27.5955,85.32826,2656
0,27.77155,85.4132,462
0,27.71481,84.71896,5918
0,27.7083,84.85906,4286
0,27.676,85.32482,4022
0,27.69699,84.92938,892
0,27.6114,85.08026,5664
0,27.72713,85.28115,7782
0,27.71527,85.32854,1420
0,27.68079,85.4029,6640
0,27.63573,85.75772,7731
0,27.70406,85.50493,6060
0,27.6918,85.03081,5779
0,27.7,85.27998,6075
0,27.90049,84.52457,7127
0,27.53054,85.54058,973
0,27.91896,85.19589,1415
0,27.697,85.32327,4300
0,27.53283,85.4311,1578
0,27.65716,85.3128,6040
0,27.57441,85.3279,6311
0,27.732,85.3308,316
0,27.57043,85.67547,2122
0,27.68188,84.44708,5127
0,27.68188,84.3742,5864
0,27.71868,84.40334,5284
0,27.6884,84.27165,4958
0,27.7228,85.6618,5870
0,27.5955,85.39967,5563
0,27.8043,85.31985,2859
0,27.70709,85.0136,1888
0,27.6974,85.3165,1608
0,27.94919,85.35844,7822
0,27.68119,85.26405,4953
0,27.71481,85.3163,435
0,27.43163,85.2911,6273
0,27.71045,85.32643,4493
0,27.58341,84.66851,2870
0,27.72915,85.02489,2996
0,27.75478,85.23402,7400
0,27.6125,84.46833,7836
0,27.6983,85.3183,7438
0,27.94834,85.329,7661
0,27.78977,85.339,5331
0,27.6985,85.3414,1996
0,27.7228,84.46306,3533
0,27.70348,84.4943,1105
0,27.69585,85.305,4242
0,27.53752,85.55537,2962
0,27.61779,85.3401,6921
0,27.58923,85.72705,6209
0,27.57133,85.31842,1715
0,28.1299,85.7133,7994
0,27.41684,85.31738,4527
0,27.70358,85.5257,2240
0,27.56802,84.44022,1855
0,27.7138,85.27505,224
0,27.70986,85.21189,5643
0,27.6667,85.57792,6243
0,27.71527,85.38727,1672
0,27.69102,84.7858,4037
0,27.6363,85.3063,1643
0,27.68766,85.3211,1979
0,27.61142,85.382,5985
0,27.68589,85.75772,6458
0,27.7244,85.49849,2588
0,27.75,85.3188,7100
0,27.75498,85.27178,3937
0,27.6822,84.81981,2073
0,27.7902,85.37266,4923
0,28.00999,84.5177,635
0,27.72013,85.35732,4672
0,27.676,85.30617,5402
0,27.7294,84.73455,2213
0,27.42384,84.50919,1550
0,27.7017,85.31898,7260
0,27.639,85.28107,2
0,27.66873,85.28115,6373
0,27.7237,85.3325,7352
0,27.7033,84.83564,2096
0,27.79394,85.30928,4218
0,27.7231,85.37179,2485
0,27.74031,85.33302,5606
0,27.69102,85.70359,365
0,27.6939,85.39059,5509
0,27.8623,85.2792,5918
0,27.6772,84.58299,7216
0,27.5888,84.67026,402
0,27.6426,85.5532,5771
0,27.704,85.3049,5025
0,27.75522,85.08026,7997
0,27.71576,85.36805,613
0,27.41065,85.32643,2701
0,27.71551,85.3082,3851
0,27.6778,85.2986,6089
0,27.82277,84.43422,4247
0,27.3992,84.44708,5755
0,27.6822,85.3375,6990
0,27.72029,85.1699,6883
0,27.7125,84.584,2428
0,27.6363,85.3188,5243
0,27.7159,85.25248,4628
0,27.7014,84.4204,2627
0,27.6397,84.4155,6674
0,28.054,85.46375,4395
0,27.72411,85.62934,2023
0,27.69987,85.3191,4039
0,27.5794,85.31937,7366
0,27.6677,85.88147,4960
0,27.7289,85.3431,92
0,27.62064,85.31,1072
0,27.7469,85.3377,4495
0,27.57043,84.70911,7581
0,27.896,85.3129,7404
0,27.6484,85.2792,4165
0,27.67872,84.5345,7481
0,27.6661,85.31057,5457
0,27.72412,85.3431,3231
0,27.7254,84.67152,1476
0,27.6468,85.3094,5504
0,27.8623,85.3332,6861
0,27.72593,85.34955,2153
0,27.69507,85.36369,263
0,27.6884,84.4943,2025
0,27.67889,85.305,6074
0,27.704,85.40209,6221
0,28.14989,85.30757,515
0,27.6291,85.21655,152
0,27.6758,85.3675,827
0,27.68801,85.33357,868
0,28.12996,85.33824,3005
0,27.7269,85.4748,2332
0,27.7383,85.3514,5059
0,27.7138,85.04145,3290
0,27.7553,85.3941,6834
0,28.0446,85.3163,4426
0,27.66391,85.29581,4411
0,27.93001,85.36332,370
0,27.69817,84.5177,1985
0,27.6646,84.57389,717
0,27.75569,85.3046,7753
0,27.4258,85.32653,7641
0,27.63551,85.3461,5604
0,27.57043,85.34823,4550
0,27.63473,84.77478,7311
0,27.53009,85.3401,4284
0,27.7,85.3416,7290
0,27.35474,85.5257,5870
0,27.72668,85.4136,7570
0,27.7049,85.3314,4479
0,27.7058,85.3049,4489
0,27.7033,85.3793,6385
0,27.6392,85.06625,1610
0,27.6815,85.32327,6903
0,27.74043,85.10679,2369
0,27.53941,84.64328,2250
0,27.72915,85.3793,1538
0,27.72411,85.0136,2696
0,27.68801,84.45303,6649
0,27.72041,85.6315,6252
0,27.69251,84.67026,25
0,27.6125,85.40209,5397
0,27.67681,85.3242,4916
0,27.7469,84.47464,2293
0,27.6166,84.76765,2436
0,27.6484,85.34753,232
0,27.7129,85.32485,5428
0,27.71567,84.71896,5037
0,27.68119,85.3516,5579
0,27.6468,85.3046,1437
0,27.642,85.32643,3075
0,27.62571,85.287,247
0,27.674,85.4136,6688
0,27.67138,84.85051,3375
0,27.6738,85.33812,2796
0,27.57789,85.3397,4691
0,27.7111,85.30495,5169
0,27.6822,85.3049,3452
0,27.6908,85.34545,6906
0,27.64412,84.44022,356
0,27.54139,85.513,5379
0,27.6926,84.47464,6314
0,27.90224,85.72882,5720
0,27.68801,85.3408,5801
0,27.72041,85.16674,6960
0,27.7307,85.3284,4329
0,27.6796,85.31209,5287
0,27.53973,85.64144,1968
0,27.69885,85.3067,6552
0,27.7175,85.14601,3862
0,27.57043,85.2817,1569
0,28.1299,84.40284,6577
0,27.7058,85.33571,4255
0,27.64801,85.28453,339
0,27.7278,85.62934,6725
0,27.37317,85.3003,3122
0,27.6979,85.29661,4054
0,27.896,85.39915,5119
0,27.4231,85.0832,7535
0,27.62991,85.33914,62
0,27.6654,85.33571,5284
0,27.73577,84.54717,7167
0,28.054,85.2044,2660
0,27.68188,84.4365,3547
0,27.70818,85.57792,4419
0,27.55207,85.33357,3577
0,27.63551,85.33092,1659
0,27.6856,84.90959,1136
0,27.50855,84.5408,3580
0,27.6884,85.42828,2444
0,27.6858,84.45303,1996
0,27.7351,85.32477,789
0,27.72041,85.28072,2639
0,27.746,85.32485,4517
0,27.71,85.3536,6697
0,27.6501,85.3082,1273
0,27.5794,85.3339,971
0,27.689,84.68217,2121
0,27.4231,84.57389,6686
0,27.72898,85.34516,3569
0,27.67983,84.60692,5682
0,27.7756,85.5077,570
0,27.717,85.3133,2789
0,27.7881,84.4549,4853
0,27.9978,85.39255,7727
0,27.71576,84.64328,1222
0,27.3999,85.3146,4106
0,28.20004,85.0304,3563
0,27.43163,84.7046,7861
0,27.69561,85.3308,1325
0,27.68188,85.35732,3237
0,28.00645,85.1418,7378
0,27.67965,85.3067,7813
0,27.7045,85.34389,6239
0,27.71037,85.3268,7890
0,27.78459,84.61375,7051
